Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_float_NN,nn_179_640_63_ld_179_63_179,Gemm_Rocblas_-1140853958,0.02238
GemmTunableOp_float_NN,nn_179_512_63_ld_179_63_179,Gemm_Rocblas_-1140853966,0.0191853
GemmTunableOp_float_NT,nt_1_107400_9_ld_1_107400_1,Default,0.0600885
GemmTunableOp_float_TN,tn_768_248_128_ld_128_128_768,Gemm_Rocblas_-1140855718,0.0465511
GemmTunableOp_float_TN,tn_768_248_768_ld_768_768_768,Gemm_Rocblas_-1140855657,0.138914
GemmTunableOp_float_TN,tn_2048_248_768_ld_768_768_2048,Gemm_Rocblas_-1140855641,0.275025
GemmTunableOp_float_TN,tn_768_248_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855676,0.314931
GemmTunableOp_float_TN,tn_768_1_768_ld_768_190464_768,Gemm_Rocblas_-1140855869,0.0370504
GemmTunableOp_float_TN,tn_512_248_768_ld_768_768_512,Gemm_Rocblas_-1140855759,0.10243
GemmTunableOp_float_TN,tn_50_248_512_ld_512_512_50,Gemm_Rocblas_-1140855902,0.0259765
GemmTunableOp_float_NN,nn_642_640_248_ld_642_248_642,Gemm_Rocblas_-1140853679,0.0925728
GemmTunableOp_float_NN,nn_642_512_248_ld_642_248_642,Gemm_Rocblas_-1140853653,0.0779538
GemmTunableOp_float_NT,nt_1_385200_9_ld_1_385200_1,Gemm_Rocblas_-9,0.203033
GemmTunableOp_float_TN,tn_768_281_128_ld_128_128_768,Gemm_Rocblas_-1140855755,0.0484936
GemmTunableOp_float_TN,tn_768_281_768_ld_768_768_768,Gemm_Rocblas_-1140855639,0.160598
GemmTunableOp_float_TN,tn_2048_281_768_ld_768_768_2048,Gemm_Rocblas_-1140855675,0.399705
GemmTunableOp_float_TN,tn_768_281_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855667,0.376946
GemmTunableOp_float_TN,tn_768_1_768_ld_768_215808_768,Gemm_Rocblas_-1140855869,0.0368269
GemmTunableOp_float_TN,tn_512_281_768_ld_768_768_512,Gemm_Rocblas_-1140855675,0.115111
GemmTunableOp_float_TN,tn_50_281_512_ld_512_512_50,Gemm_Rocblas_-1140855755,0.0266024
GemmTunableOp_float_NN,nn_701_640_281_ld_701_281_701,Gemm_Rocblas_-1140853654,0.100369
GemmTunableOp_float_NN,nn_701_512_281_ld_701_281_701,Gemm_Rocblas_-1140853652,0.09044
GemmTunableOp_float_NT,nt_1_420600_9_ld_1_420600_1,Gemm_Rocblas_-1140854920,0.231923
GemmTunableOp_float_TN,tn_768_240_128_ld_128_128_768,Gemm_Rocblas_-1140855718,0.0468617
GemmTunableOp_float_TN,tn_768_240_768_ld_768_768_768,Gemm_Rocblas_-1140855656,0.136706
GemmTunableOp_float_TN,tn_2048_240_768_ld_768_768_2048,Gemm_Rocblas_-1140855654,0.271381
GemmTunableOp_float_TN,tn_768_240_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855736,0.315311
GemmTunableOp_float_TN,tn_768_1_768_ld_768_184320_768,Gemm_Rocblas_-1140855872,0.0371735
GemmTunableOp_float_TN,tn_512_240_768_ld_768_768_512,Gemm_Rocblas_-1140855713,0.0999443
GemmTunableOp_float_TN,tn_50_240_512_ld_512_512_50,Gemm_Rocblas_-1140855911,0.0266725
GemmTunableOp_float_NN,nn_602_640_240_ld_602_240_602,Gemm_Rocblas_-1140853654,0.0837162
GemmTunableOp_float_NN,nn_602_512_240_ld_602_240_602,Gemm_Rocblas_-1140853683,0.0693625
GemmTunableOp_float_NT,nt_1_361200_9_ld_1_361200_1,Gemm_Rocblas_-1140854920,0.199179
GemmTunableOp_float_TN,tn_768_282_128_ld_128_128_768,Gemm_Rocblas_-1140855741,0.0505603
GemmTunableOp_float_TN,tn_768_282_768_ld_768_768_768,Gemm_Rocblas_-1140855675,0.151992
GemmTunableOp_float_TN,tn_2048_282_768_ld_768_768_2048,Gemm_Rocblas_-1140855675,0.395754
GemmTunableOp_float_TN,tn_768_282_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855644,0.372873
GemmTunableOp_float_TN,tn_768_1_768_ld_768_216576_768,Gemm_Rocblas_-9,0.036602
GemmTunableOp_float_TN,tn_512_282_768_ld_768_768_512,Gemm_Rocblas_-1140855698,0.108575
GemmTunableOp_float_TN,tn_50_282_512_ld_512_512_50,Gemm_Rocblas_-1140855755,0.0266148
GemmTunableOp_float_NN,nn_730_640_282_ld_730_282_730,Gemm_Rocblas_-1140853679,0.103129
GemmTunableOp_float_NN,nn_730_512_282_ld_730_282_730,Gemm_Rocblas_-1140853653,0.0830305
GemmTunableOp_float_NT,nt_1_438000_9_ld_1_438000_1,Gemm_Rocblas_-9,0.230863
GemmTunableOp_float_TN,tn_768_230_128_ld_128_128_768,Gemm_Rocblas_-1140855909,0.0460863
GemmTunableOp_float_TN,tn_768_230_768_ld_768_768_768,Gemm_Rocblas_-1140855713,0.137457
GemmTunableOp_float_TN,tn_2048_230_768_ld_768_768_2048,Gemm_Rocblas_-1140855641,0.271077
GemmTunableOp_float_TN,tn_768_230_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855657,0.314441
GemmTunableOp_float_TN,tn_768_1_768_ld_768_176640_768,Gemm_Rocblas_-1140855872,0.0372393
GemmTunableOp_float_TN,tn_512_230_768_ld_768_768_512,Gemm_Rocblas_-1140855729,0.0990734
GemmTunableOp_float_TN,tn_50_230_512_ld_512_512_50,Gemm_Rocblas_-1140855903,0.0248319
GemmTunableOp_float_NN,nn_579_640_230_ld_579_230_579,Gemm_Rocblas_-1140853868,0.082445
GemmTunableOp_float_NN,nn_579_512_230_ld_579_230_579,Gemm_Rocblas_-1140853676,0.0688431
GemmTunableOp_float_NT,nt_1_347400_9_ld_1_347400_1,Gemm_Rocblas_-1140854920,0.187161
GemmTunableOp_float_TN,tn_768_196_128_ld_128_128_768,Gemm_Rocblas_-1140855741,0.0427359
GemmTunableOp_float_TN,tn_768_196_768_ld_768_768_768,Gemm_Rocblas_-1140855656,0.132304
GemmTunableOp_float_TN,tn_2048_196_768_ld_768_768_2048,Gemm_Rocblas_-1140855637,0.266818
GemmTunableOp_float_TN,tn_768_196_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855667,0.317268
GemmTunableOp_float_TN,tn_768_1_768_ld_768_150528_768,Gemm_Rocblas_-1140855872,0.0376176
GemmTunableOp_float_TN,tn_512_196_768_ld_768_768_512,Gemm_Rocblas_-1140855674,0.0982692
GemmTunableOp_float_TN,tn_50_196_512_ld_512_512_50,Gemm_Rocblas_-1140855916,0.0235362
GemmTunableOp_float_NN,nn_518_640_196_ld_518_196_518,Gemm_Rocblas_-1140853676,0.0680119
GemmTunableOp_float_NN,nn_518_512_196_ld_518_196_518,Gemm_Rocblas_-1140853718,0.0612003
GemmTunableOp_float_NT,nt_1_310800_9_ld_1_310800_1,Default,0.174303
GemmTunableOp_float_TN,tn_768_150_128_ld_128_128_768,Gemm_Rocblas_-1140855907,0.0345537
GemmTunableOp_float_TN,tn_768_150_768_ld_768_768_768,Gemm_Rocblas_-1140855755,0.121288
GemmTunableOp_float_TN,tn_2048_150_768_ld_768_768_2048,Gemm_Rocblas_-1140855730,0.213977
GemmTunableOp_float_TN,tn_768_150_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855720,0.267904
GemmTunableOp_float_TN,tn_768_1_768_ld_768_115200_768,Gemm_Rocblas_-9,0.0378713
GemmTunableOp_float_TN,tn_512_150_768_ld_768_768_512,Gemm_Rocblas_-1140855759,0.0835194
GemmTunableOp_float_TN,tn_50_150_512_ld_512_512_50,Gemm_Rocblas_-1140855821,0.0215241
GemmTunableOp_float_NN,nn_388_640_150_ld_388_150_388,Gemm_Rocblas_-1140853695,0.0498958
GemmTunableOp_float_NN,nn_388_512_150_ld_388_150_388,Gemm_Rocblas_-1140853718,0.0424049
GemmTunableOp_float_NT,nt_1_232800_9_ld_1_232800_1,Gemm_Rocblas_-9,0.127599
GemmTunableOp_float_TN,tn_768_280_128_ld_128_128_768,Gemm_Rocblas_-1140855741,0.0508208
GemmTunableOp_float_TN,tn_768_280_768_ld_768_768_768,Gemm_Rocblas_-1140855675,0.159686
GemmTunableOp_float_TN,tn_2048_280_768_ld_768_768_2048,Gemm_Rocblas_-1140855759,0.404153
GemmTunableOp_float_TN,tn_768_280_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855648,0.382386
GemmTunableOp_float_TN,tn_768_1_768_ld_768_215040_768,Gemm_Rocblas_-1140855869,0.0375542
GemmTunableOp_float_TN,tn_512_280_768_ld_768_768_512,Gemm_Rocblas_-1140855639,0.113953
GemmTunableOp_float_TN,tn_50_280_512_ld_512_512_50,Gemm_Rocblas_-1140855755,0.0269519
GemmTunableOp_float_NN,nn_694_640_280_ld_694_280_694,Gemm_Rocblas_-1140853654,0.105762
GemmTunableOp_float_NN,nn_694_512_280_ld_694_280_694,Gemm_Rocblas_-1140853646,0.0853104
GemmTunableOp_float_NT,nt_1_416400_9_ld_1_416400_1,Gemm_Rocblas_-9,0.216615
GemmTunableOp_float_NN,nn_548_640_248_ld_548_248_548,Gemm_Rocblas_-1140853868,0.0725877
GemmTunableOp_float_NN,nn_548_512_248_ld_548_248_548,Gemm_Rocblas_-1140853718,0.0687244
GemmTunableOp_float_NT,nt_1_328800_9_ld_1_328800_1,Gemm_Rocblas_-9,0.184636
GemmTunableOp_float_NN,nn_606_640_281_ld_606_281_606,Gemm_Rocblas_-1140853865,0.0951954
GemmTunableOp_float_NN,nn_606_512_281_ld_606_281_606,Gemm_Rocblas_-1140853865,0.0750684
GemmTunableOp_float_NT,nt_1_363600_9_ld_1_363600_1,Gemm_Rocblas_-9,0.227213
GemmTunableOp_float_NN,nn_527_640_240_ld_527_240_527,Gemm_Rocblas_-1140853675,0.0859978
GemmTunableOp_float_NN,nn_527_512_240_ld_527_240_527,Gemm_Rocblas_-1140853676,0.0666221
GemmTunableOp_float_NT,nt_1_316200_9_ld_1_316200_1,Gemm_Rocblas_-1140854919,0.195991
GemmTunableOp_float_NN,nn_630_640_282_ld_630_282_630,Gemm_Rocblas_-1140853867,0.0961484
